student_id,first_name,last_name,email,gender,age,department,attendance(%),midterm_score,final_score,assignment_avg,quizzes_avg,participation_score,projects_score,total_score,grade,study_hours_per_week,internet_access,parent_education,family_income,stress_level
1,Justin,Hall,justin.hall1@email.com,Male,24,Computer Science,90.2,89,68,79.5,59.8,66,79,76.1,C,9,no,Associate,medium,3
2,Derek,Brown,derek.brown2@email.com,Male,21,Political Science,80.7,58,61,57.6,60.7,60,69,60.6,D,12,yes,Bachelor's,low,6
3,Shelly,Wright,shelly.wright3@email.com,Male,18,History,82.1,74,55,51.9,62.6,60,57,61.3,D,9,yes,High School,medium,4
4,Raymond,Hawkins,raymond.hawkins4@email.com,Male,23,Physics,74.6,66,69,54.1,67.7,60,67,65.9,D,5,yes,High School,medium,7
5,Lucas,Jensen,lucas.jensen5@email.com,Male,19,Political Science,89.2,43,40,50.0,59.2,60,58,45.7,F,12,yes,Bachelor's,medium,8
6,William,Andrade,william.andrade6@email.com,Male,19,Psychology,96.0,57,71,59.2,68.6,61,52,63.2,D,5,yes,Master's,medium,6
7,Angel,Mcfarland,angel.mcfarland7@email.com,Male,18,Mathematics,92.8,59,45,57.6,55.8,62,72,54.6,F,8,no,Associate,medium,7
8,Allen,Carr,allen.carr8@email.com,Male,24,Physics,79.8,55,67,66.5,56.4,62,61,62.0,D,17,yes,Bachelor's,high,8
9,Jacqueline,Carpenter,jacqueline.carpenter9@email.com,Male,21,Business,82.4,67,73,82.0,70.3,100,70,73.1,C,14,yes,Bachelor's,low,6
10,Dawn,Smith,dawn.smith10@email.com,Female,20,Computer Science,64.8,64,50,50.0,50.0,60,51,54.9,F,12,yes,Bachelor's,medium,6
11,Katherine,Donaldson,katherine.donaldson11@email.com,Female,23,Engineering,82.6,91,60,95.9,98.0,88,78,78.1,C+,11,yes,Master's,medium,3
12,Stephen,Mendoza,stephen.mendoza12@email.com,Female,23,History,71.0,99,72,81.5,81.5,70,66,81.0,B-,17,yes,High School,low,5
13,Patricia,Peterson,patricia.peterson13@email.com,Male,21,Biology,91.2,81,90,91.6,82.4,61,71,83.8,B,11,yes,Doctorate,high,6
14,Natalie,Smith,natalie.smith14@email.com,Male,18,Business,86.2,80,74,78.2,86.0,79,76,77.4,C+,5,yes,Associate,low,6
15,Alicia,Goodwin,alicia.goodwin15@email.com,Female,21,Mathematics,93.5,62,82,88.2,80.4,60,67,74.0,C,12,yes,Associate,medium,3
16,Lisa,Simmons,lisa.simmons16@email.com,Female,24,Political Science,96.0,99,67,87.6,80.5,73,86,81.6,B-,8,yes,Master's,high,4
17,Joseph,Woodard,joseph.woodard17@email.com,Male,22,Economics,85.9,56,48,66.8,56.9,60,55,54.1,F,22,yes,High School,medium,9
18,Danielle,Duran,danielle.duran18@email.com,Female,20,Biology,79.0,44,51,54.7,53.2,72,54,50.8,F,8,yes,Master's,high,5
19,Megan,Jones,megan.jones19@email.com,Male,18,English Literature,77.7,43,40,50.0,50.0,60,50,44.4,F,13,yes,Bachelor's,medium,6
20,Rodney,Holloway,rodney.holloway20@email.com,Male,24,Physics,82.6,58,75,50.0,62.9,60,53,63.9,D,8,no,Master's,high,8
21,Leah,Hood,leah.hood21@email.com,Female,18,Biology,92.8,72,64,74.5,80.8,60,66,68.3,D,9,yes,Master's,low,6
22,Joshua,Rodriguez,joshua.rodriguez22@email.com,Female,19,Physics,100.0,59,65,55.3,70.5,71,66,63.0,D,8,yes,Associate,medium,9
23,Patrick,Rhodes,patrick.rhodes23@email.com,Female,24,Mathematics,79.1,54,54,56.1,52.6,64,75,56.9,F,12,no,High School,low,6
24,Ashley,Fletcher,ashley.fletcher24@email.com,Female,23,Political Science,86.3,66,90,85.6,72.9,80,82,80.3,B-,10,no,Master's,medium,4
25,Leslie,Warren,leslie.warren25@email.com,Female,20,Chemistry,95.3,57,59,62.4,64.9,60,50,58.2,F,14,yes,Doctorate,low,7
26,Alejandra,Hammond,alejandra.hammond26@email.com,Female,21,Engineering,78.8,60,61,75.6,68.6,60,73,63.8,D,13,yes,Master's,medium,7
27,Kimberly,Morrow,kimberly.morrow27@email.com,Male,22,English Literature,89.9,62,93,89.2,77.8,70,90,81.2,B-,12,yes,Associate,low,5
